season,opponent,venue,latitude,longitude
2023,Virginia Commonwealth,Pate Field,37.5478,-77.474
2023,Virginia Tech,English Field,37.2296,-80.4139
2023,Wake Forest,David F. Couch Ballpark,36.1271,-80.2768
2023,Western Carolina,Hennon Stadium,35.3084,-83.1961
2023,Wright State,Nischwitz Stadium,39.779,-84.0625
2024,Bryant,Conaty Park,41.7254,-71.477
2024,Campbell,Jim Perry Stadium,35.4065,-78.478
2024,Charlotte,Hayes Stadium,35.3058,-80.7327
2024,Clemson,Doug Kingsmore Stadium,34.6831,-82.8371
2024,Coastal Carolina,Springs Brooks Stadium,33.7904,-79.0181
2024,Duke,Jack Coombs Field,36.0014,-78.9381
2024,East Carolina,Clark-LeClair Stadium,35.6082,-77.3713
2024,Elon,Latham Park,36.1023,-79.4952
2024,Florida,McKethan Stadium,29.6497,-82.3497
2024,Florida State,Dick Howser Stadium,30.443,-84.2977
2024,Gardner-Webb,John Henry Moss Stadium,35.256,-81.6773
2024,Georgia,Foley Field,33.948,-83.3733
2024,Georgia Tech,Mac Nease Park,33.774,-84.3975
2024,Hawai'i,Les Murakami Stadium,21.2967,-157.8174
2024,Kentucky,Kentucky Proud Park,37.9986,-84.4979
2024,LIU,LIU Bethpage Ballpark,40.7736,-73.1942
2024,LSU,Alex Box Stadium,30.4128,-91.1859
2024,Longwood,Buddy Bolding Stadium,37.2933,-78.3979
2024,Louisville,Jim Patterson Stadium,38.2146,-85.7636
2024,Miami,Mark Light Field,25.7189,-80.2775
2024,NC State,Doak Field,35.7826,-78.6986
2024,Norfolk State,Marty L. Miller Baseball Stadium,36.846352,-76.262844
2024,North Carolina,Boshamer Stadium,35.9115,-79.0528
2024,North Carolina A&T,War Memorial Stadium,36.0575,-79.7878
2024,Notre Dame,Frank Eck Stadium,41.7051,-86.2351
2024,Pittsburgh,Charles L. Cost Field,40.448,-79.9587
2024,Princeton,Clarke Field,40.3501,-74.6564
2024,Rutgers,Bainton Field,40.4997,-74.4395
2024,South Carolina,Sarge Frye Field,34.0007,-81.0204
2024,Tennessee,Lindsey Nelson Stadium,35.9487,-83.9308
2024,UNC Greensboro,UNCG Baseball Complex,36.0716,-79.8133
2024,UNC Wilmington,Brooks Field,34.2273,-77.8709
2024,Virginia,Disharoon Park,38.03,-78.5155
2024,Virginia Commonwealth,Pate Field,37.5478,-77.474
2024,Virginia Tech,English Field,37.2296,-80.4139
2024,Wagner,Wagner Baseball Complex,40.6188,-74.0978
2024,Wake Forest,David F. Couch Ballpark,36.1271,-80.2768
2024,West Virginia,Monongalia County Ballpark,39.6328,-79.9553
2024,William & Mary,Plumeri Park,37.2746,-76.7142
2025,Alabama,Sewell-Thomas Stadium,33.2102,-87.5497
2025,Arizona,Hillenbrand Stadium,32.2408,-110.9495
2025,Auburn,Plainsman Park,32.592,-85.494
2025,Boston College,Harrington Field,42.3353,-71.1675
2025,California,Evans Diamond,37.8719,-122.2583
2025,Campbell,Jim Perry Stadium,35.4065,-78.478
2025,Central Connecticut State,Arute Field,41.6603,-72.8848
2025,Charlotte,Hayes Stadium,35.3058,-80.7327
2025,Clemson,Doug Kingsmore Stadium,34.6831,-82.8371
2025,Coastal Carolina,Springs Brooks Stadium,33.7904,-79.0181
2025,College of Charleston,Patriots Point,32.7857,-79.9152
2025,Connecticut,Elliot Ballpark,41.808,-72.2513
2025,Davidson,Wilson Field,35.4993,-80.847
2025,Duke,Jack Coombs Field,36.0014,-78.9381
2025,East Carolina,Clark-LeClair Stadium,35.6082,-77.3713
2025,Elon,Latham Park,36.1023,-79.4952
2025,Florida State,Dick Howser Stadium,30.443,-84.2977
2025,Fordham,Houlihan Park,40.860784,-73.882794
2025,Gardner-Webb,John Henry Moss Stadium,35.256,-81.6773
2025,George Mason,Spuhler Field,38.831,-77.3075
2025,Holy Cross,Fitton Field,42.263,-71.8055
2025,Kansas State,Tointon Family Stadium,39.1974,-96.5839
2025,Louisville,Jim Patterson Stadium,38.2146,-85.7636
2025,Miami,Mark Light Field,25.7189,-80.2775
2025,NC State,Doak Field,35.7826,-78.6986
2025,North Carolina,Boshamer Stadium,35.9115,-79.0528
2025,North Carolina A&T,War Memorial Stadium,36.0575,-79.7878
2025,Ohio State,Bill Davis Stadium,40.001,-83.01
2025,Oklahoma,L Dale Mitchell Park,35.1993,-97.436
2025,Pittsburgh,Charles L. Cost Field,40.448,-79.9587
2025,Presbyterian,Presbyterian College Field,34.4735,-81.8706
2025,Queens,Grady Elmore Field,35.3058,-80.7325
2025,South Carolina,Sarge Frye Field,34.0007,-81.0204
2025,Stanford,Sunken Diamond,37.4344,-122.1633
2025,Stetson,Melching Field,29.0247,-81.289
2025,Stony Brook,Joe Nathan Field,40.9117,-73.1207
2025,Texas Tech,Dan Law Field,33.5835,-101.8875
2025,UNC Greensboro,UNCG Baseball Complex,36.0716,-79.8133
2025,UNC Wilmington,Brooks Field,34.2273,-77.8709
2025,Virginia Commonwealth,Pate Field,37.5478,-77.474
2025,Virginia Tech,English Field,37.2296,-80.4139
2025,Wake Forest,David F. Couch Ballpark,36.1271,-80.2768
2026,Akron,Lee Jackson Field,41.0755,-81.5095
2026,Boston College,Harrington Field,42.3353,-71.1675
2026,Bucknell,Murray Field,40.9526,-76.8907
2026,California,Evans Diamond,37.8719,-122.2583
2026,Campbell,Jim Perry Stadium,35.4065,-78.478
2026,Charlotte,Hayes Stadium,35.3058,-80.7327
2026,Clemson,Doug Kingsmore Stadium,34.6831,-82.8371
2026,Coastal Carolina,Springs Brooks Stadium,33.7904,-79.0181
2026,Duke,Jack Coombs Field,36.0014,-78.9381
2026,East Carolina,Clark-LeClair Stadium,35.6082,-77.3713
2026,Elon,Latham Park,36.1023,-79.4952
2026,Florida State,Dick Howser Stadium,30.443,-84.2977
2026,Georgia Tech,Mac Nease Park,33.774,-84.3975
2026,High Point,Williard Stadium,35.9557,-80.0053
2026,Indiana,Bart Kaufman Field,39.1756,-86.5162
2026,Indiana State,Bob Warn Field,39.4667,-87.4136
2026,Lafayette,Houlihan Park,40.860784,-73.882794
2026,Le Moyne,Brisson Field,43.0654,-76.1434
2026,Liberty,Liberty Baseball Stadium,37.3566,-79.1751
2026,Longwood,Buddy Bolding Stadium,37.2933,-78.3979
2026,Louisville,Jim Patterson Stadium,38.2146,-85.7636
2026,Miami,Mark Light Field,25.7189,-80.2775
2026,NC State,Doak Field,35.7826,-78.6986
2026,North Carolina,Boshamer Stadium,35.9115,-79.0528
2026,North Carolina A&T,War Memorial Stadium,36.0575,-79.7878
2026,Notre Dame,Frank Eck Stadium,41.7051,-86.2351
2026,Pittsburgh,Charles L. Cost Field,40.448,-79.9587
2026,Princeton,Clarke Field,40.3501,-74.6564
2026,Queens,Grady Elmore Field,35.3058,-80.7325
2026,Richmond,Pitt Field,37.5671,-77.5387
2026,Sacred Heart,Veterans Park,41.1793,-73.2276
2026,Seton Hall,Owen T. Carroll Field,40.7452,-74.2543
2026,South Carolina,Sarge Frye Field,34.0007,-81.0204
2026,Stanford,Sunken Diamond,37.4344,-122.1633
2026,UNC Greensboro,UNCG Baseball Complex,36.0716,-79.8133
2026,UNC Wilmington,Brooks Field,34.2273,-77.8709
2026,Virginia,Disharoon Park,38.03,-78.5155
2026,Virginia Commonwealth,Pate Field,37.5478,-77.474
2026,Virginia Tech,English Field,37.2296,-80.4139
2026,Wake Forest,David F. Couch Ballpark,36.1271,-80.2768
2026,Washington,Husky Ballpark,47.6498,-122.3023
2026,Winthrop,Winthrop Ballpark,34.9405,-81.0134
